league,vis_team,home_team,inning,bat_team,batting_team,pitching_team,outs,balls,strikes,vis_score,home_score,batter,bat_hand,pitcher,pitch_hand,catcher,run_on_1st,run_on_2nd,run_on_3rd,is_leadoff,def_pos,lineup_pos,event_type,is_batter_event,is_at_bat,hit_value,is_sac_hit,is_sac_fly,outs_made,batted_ball_type,bat_dest,run_1st_dest,run_2nd_dest,run_3rd_dest,runs_on_play,is_new_game,is_game_end
AL,CHA,ANA,1,0,CHA,ANA,0,2,2,0,0,andet001,R,bundd001,R,stasm001,,,,T,6,1,3,T,T,0,F,F,1,,0,0,0,0,0,T,F
AL,CHA,ANA,1,0,CHA,ANA,1,0,1,0,0,eatoa002,L,bundd001,R,stasm001,,,,F,9,2,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,CHA,ANA,1,0,CHA,ANA,2,0,0,0,0,abrej003,R,bundd001,R,stasm001,,,,F,3,3,20,T,T,1,F,F,0,G,1,0,0,0,0,F,F
AL,CHA,ANA,1,0,CHA,ANA,2,3,2,0,0,moncy001,L,bundd001,R,stasm001,abrej003,,,F,5,4,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,CHA,ANA,1,1,ANA,CHA,0,2,2,0,0,fletd002,R,gioll001,R,grany001,,,,T,4,1,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,1,1,ANA,CHA,1,1,2,0,0,ohtas001,L,gioll001,R,grany001,,,,F,10,2,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,1,1,ANA,CHA,2,3,2,0,0,troum001,R,gioll001,R,grany001,,,,F,8,3,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,2,0,CHA,ANA,0,2,2,0,0,grany001,L,bundd001,R,stasm001,,,,T,2,5,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,2,0,CHA,ANA,1,1,2,0,0,garcl004,L,bundd001,R,stasm001,,,,F,7,6,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,2,0,CHA,ANA,2,0,1,0,0,robel002,R,bundd001,R,stasm001,,,,F,8,7,21,T,T,2,F,F,0,L,2,0,0,0,0,F,F
AL,CHA,ANA,2,0,CHA,ANA,2,0,1,0,0,collz001,L,bundd001,R,stasm001,,robel002,,F,10,8,4,F,F,0,F,F,0,,0,0,3,0,0,F,F
AL,CHA,ANA,2,0,CHA,ANA,2,1,1,0,0,collz001,L,bundd001,R,stasm001,,,robel002,F,10,8,9,F,F,0,F,F,0,,0,0,0,4,1,F,F
AL,CHA,ANA,2,0,CHA,ANA,2,2,1,1,0,collz001,L,bundd001,R,stasm001,,,,F,10,8,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,CHA,ANA,2,1,ANA,CHA,0,2,2,1,0,renda001,R,gioll001,R,grany001,,,,T,5,4,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,CHA,ANA,2,1,ANA,CHA,1,1,2,1,0,uptoj001,R,gioll001,R,grany001,,,,F,7,5,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,2,1,ANA,CHA,2,0,2,1,0,pujoa001,R,gioll001,R,grany001,,,,F,3,6,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,CHA,ANA,3,0,CHA,ANA,0,1,1,1,0,madrn001,R,bundd001,R,stasm001,,,,T,4,9,2,T,T,0,F,F,1,L,0,0,0,0,0,F,F
AL,CHA,ANA,3,0,CHA,ANA,1,0,1,1,0,andet001,R,bundd001,R,stasm001,,,,F,6,1,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,CHA,ANA,3,0,CHA,ANA,2,2,2,1,0,eatoa002,L,bundd001,R,stasm001,,,,F,9,2,2,T,T,0,F,F,1,L,0,0,0,0,0,F,F
AL,CHA,ANA,3,1,ANA,CHA,0,0,2,1,0,iglej001,R,gioll001,R,grany001,,,,T,6,7,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,CHA,ANA,3,1,ANA,CHA,1,3,2,1,0,stasm001,R,gioll001,R,grany001,,,,F,2,8,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,3,1,ANA,CHA,2,0,2,1,0,fowld001,L,gioll001,R,grany001,,,,F,9,9,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,4,0,CHA,ANA,0,0,2,1,0,abrej003,R,bundd001,R,stasm001,,,,T,3,3,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,CHA,ANA,4,0,CHA,ANA,1,1,1,1,0,moncy001,L,bundd001,R,stasm001,,,,F,5,4,21,T,T,2,F,F,0,F,2,0,0,0,0,F,F
AL,CHA,ANA,4,0,CHA,ANA,1,3,1,1,0,grany001,L,bundd001,R,stasm001,,moncy001,,F,2,5,14,T,F,0,F,F,0,,1,0,2,0,0,F,F
AL,CHA,ANA,4,0,CHA,ANA,1,1,1,1,0,garcl004,L,bundd001,R,stasm001,grany001,moncy001,,F,7,6,2,T,T,0,F,F,1,G,0,2,3,0,0,F,F
AL,CHA,ANA,4,0,CHA,ANA,2,0,0,1,0,robel002,R,bundd001,R,stasm001,,grany001,moncy001,F,8,7,2,T,T,0,F,F,1,F,0,0,2,3,0,F,F
AL,CHA,ANA,4,1,ANA,CHA,0,1,2,1,0,fletd002,R,gioll001,R,grany001,,,,T,4,1,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,CHA,ANA,4,1,ANA,CHA,1,0,0,1,0,ohtas001,L,gioll001,R,grany001,,,,F,10,2,2,T,T,0,F,F,1,P,0,0,0,0,0,F,F
AL,CHA,ANA,4,1,ANA,CHA,2,3,1,1,0,troum001,R,gioll001,R,grany001,,,,F,8,3,14,T,F,0,F,F,0,,1,0,0,0,0,F,F
AL,CHA,ANA,4,1,ANA,CHA,2,3,2,1,0,renda001,R,gioll001,R,grany001,troum001,,,F,5,4,14,T,F,0,F,F,0,,1,2,0,0,0,F,F
AL,CHA,ANA,4,1,ANA,CHA,2,0,2,1,0,uptoj001,R,gioll001,R,grany001,renda001,troum001,,F,7,5,20,T,T,1,F,F,0,L,1,2,4,0,1,F,F
AL,CHA,ANA,4,1,ANA,CHA,2,0,1,1,1,pujoa001,R,gioll001,R,grany001,uptoj001,renda001,,F,3,6,2,T,T,0,F,F,1,F,0,1,2,0,0,F,F
